"artist_title"	"year"	"keep"	"rank"	"votes"	"artist"	"song"	"filename"	"source"
"Code One - On Küll Hilja "	1996	"TRUE"	3	1393	"Code One"	"On Küll Hilja "	"lyrics-code_one-on_kull_hilja"	1
"Code One - Sel Kaunil Kuul "	1996	"TRUE"	36	113	"Code One"	"Sel Kaunil Kuul "	"lyrics-code_one-sel_kaunil_kuul"	1
"Code One - Sellest Saab Meie Suvi "	1996	"TRUE"	5	1038	"Code One"	"Sellest Saab Meie Suvi "	"lyrics-code_one-sellest_saab_meie_suvi"	1
"Code One - Soovin Sulle Head "	1998	"TRUE"	15	203	"Code One"	"Soovin Sulle Head "	"lyrics-code_one-soovin_sulle_head"	1
"Code One - Vikerkaar "	1995	"TRUE"	22	233	"Code One"	"Vikerkaar "	"lyrics-code_one-vikerkaar"	1
"Cool D - Eestlased "	2005	"TRUE"	7	1915	"Cool D"	"Eestlased "	"lyrics-cool_d-eestlased"	1
"Cool D - Juua Täis Peaga "	2007	"TRUE"	29	245	"Cool D"	"Juua Täis Peaga "	"lyrics-cool_d-juua_tais_peaga"	1
"Cool D - Kas Sa Kuuled "	1998	"TRUE"	25	108	"Cool D"	"Kas Sa Kuuled "	"lyrics-cool_d-kas_sa_kuuled_"	1
"Cool D & Anaconda - Lõpupidu "	2001	"TRUE"	14	277	"Cool D & Anaconda"	"Lõpupidu "	"lyrics-cool_d-lopupidu"	1
"Cool D - Pole Sinu Asi "	2004	"TRUE"	36	99	"Cool D"	"Pole Sinu Asi "	"lyrics-cool_d-pole_sinu_asi"	1
"Cool D - Pole sinu asi "	2005	"TRUE"	23	514	"Cool D"	"Pole sinu asi "	"lyrics-cool_d-pole_sinu_asi"	1
"Cool D feat. Deja - Täna ma chillin "	2001	"TRUE"	25	87	"Cool D"	"Täna ma chillin "	"lyrics-cool_d-tana_ma_chillin"	1
"Cool D - Tütar üksi kodus VI "	2005	"TRUE"	22	552	"Cool D"	"Tütar üksi kodus VI "	"lyrics-cool_d-tutar_uksi_kodus_4_osa"	1
"Curly Strings - Kättemaks "	2014	"TRUE"	24	129	"Curly Strings"	"Kättemaks "	"lyrics-curly_strings-kattemaks"	1
"Curly Strings - Kauges külas "	2014	"TRUE"	1	702	"Curly Strings"	"Kauges külas "	"lyrics-curly_strings-kauges_kulas"	1
"Curly Strings - Maailm heliseb "	2013	"TRUE"	30	89	"Curly Strings"	"Maailm heliseb "	"lyrics-curly_strings-maailm_heliseb"	1
"Curly Strings - Muu ei loe "	2015	"TRUE"	39	37	"Curly Strings"	"Muu ei loe "	"lyrics-curly_strings-muu_ei_loe"	1
"D-Gän - Seib"	1994	"TRUE"	10		"D-Gän"	"Seib"	"lyrics-d-gan-seib"	1
"Dagö - Joonistatud mees "	2005	"TRUE"	30	385	"Dagö"	"Joonistatud mees "	"lyrics-dago-joonistatud_mees"	1
"Dagö - Möödakarvapai "	2008	"TRUE"	35	167	"Dagö"	"Möödakarvapai "	"lyrics-dago-moodakarvapai"	1
"Dagö - Muusik "	2006	"TRUE"	22	376	"Dagö"	"Muusik "	"lyrics-dago-muusik"	1
"Dagö - Presentatsioon "	2002	"TRUE"	29	191	"Dagö"	"Presentatsioon "	"lyrics-dago-presentatsioon"	1
"Dagö - Šveits "	2000	"TRUE"	22	124	"Dagö"	"Šveits "	"lyrics-dago-shveits"	1
"Dagö - Teine Kadriorg "	2003	"TRUE"	30	185	"Dagö"	"Teine Kadriorg "	"lyrics-dago-teine_kadriorg"	1
"Dagö - Teine Kadriorg "	2004	"TRUE"	17	214	"Dagö"	"Teine Kadriorg "	"lyrics-dago-teine_kadriorg"	1
"Dagö - Välismaa "	2007	"TRUE"	27	278	"Dagö"	"Välismaa "	"lyrics-dago-valismaa"	1
"Dave Benton - Mas Que Un Millon (She`s the one) "	2001	"TRUE"	35	61	"Dave Benton"	"Mas Que Un Millon (She"	"lyrics-dave_benton-m_s_que_un_mill_n"	1
"Def Räädu feat. J.O.C. - Kuningas Ei Eksi "	2006	"TRUE"	9	856	"Def Räädu"	"Kuningas Ei Eksi "	"lyrics-def_raadu-kuningas_ei_eksi"	1
"Def Räädu feat. J.O.C. - Mis Värk On? "	2006	"TRUE"	34	187	"Def Räädu"	"Mis Värk On? "	"lyrics-def_raadu-mis_vark_on"	1
"Dj TT Feat. Jaan Lehepuu - Üksinda "	2011	"TRUE"	40	80	"Dj TT"	"Üksinda "	"lyrics-dj_tt-uksinda"	1
"DJ Whirl & Mayer - Streets At Night "	2004	"TRUE"	27	134	"DJ Whirl & Mayer"	"Streets At Night "	"lyrics-dj_whirl-streets_night_2005_video_edit_"	1
"DJ Whirl & Mayer - Streets At Night "	2005	"TRUE"	24	489	"DJ Whirl & Mayer"	"Streets At Night "	"lyrics-dj_whirl-streets_night_2005_video_edit_"	1
"Dj Whirl Feat. Mari-Liis - Varjud "	2009	"TRUE"	19	193	"Dj Whirl"	"Varjud "	"lyrics-dj_whirl-varjud"	1
"DND - Kontserdilt koju "	2017	"TRUE"	37	55	"DND"	"Kontserdilt koju "	"lyrics-dnd-kontserdilt_koju"	1
"DND - Kontserdilt koju "	2018	"TRUE"	18	143	"DND"	"Kontserdilt koju "	"lyrics-dnd-kontserdilt_koju"	1
"Droopy & G-Enka feat. DJ Critikal - Tallinn "	2001	"TRUE"	18	178	"Droopy & G-Enka"	"Tallinn "	"lyrics-droopy_g-enka_vs_dj_critikal-tallinn"	1
"Dynamint - 7 "	2005	"TRUE"	36	321	"Dynamint"	7	"lyrics-dynamint-7"	1
"Dynamint - Bemarivend "	2004	"TRUE"	25	147	"Dynamint"	"Bemarivend "	"lyrics-dynamint-bemarivend"	1
"Dynamint - Jätke võtmed väljapoole "	2004	"TRUE"	29	129	"Dynamint"	"Jätke võtmed väljapoole "	"lyrics-dynamint-jatke_votmed_valjapoole"	1
"Dynamint - Klubi paradiis "	2004	"TRUE"	10	392	"Dynamint"	"Klubi paradiis "	"lyrics-dynamint-klubi_paradiis"	1
"Ecthalion - Laurelin "	2000	"TRUE"	25	119	"Ecthalion"	"Laurelin "	"lyrics-ecthalion-laurelin"	1
"Elav Legend - Mälestused "	2005	"TRUE"	18	728	"Elav Legend"	"Mälestused "	"lyrics-elav_legend-malestused"	1
"Elav Legend - Mälestused "	2006	"TRUE"	27	237	"Elav Legend"	"Mälestused "	"lyrics-elav_legend-malestused"	1
"Elav Legend - Vana Rada "	2006	"TRUE"	39	152	"Elav Legend"	"Vana Rada "	"lyrics-elav_legend-vana_rada"	1
"Elav ledend - Vana rada "	2004	"TRUE"	21	167	"Elav ledend"	"Vana rada "	"lyrics-elav_legend-vana_rada"	1
"Elephants From Neptune - Unriddle me "	2014	"TRUE"	38	81	"Elephants From Neptune"	"Unriddle me "	"lyrics-elephants_from_neptune-unriddle_me"	1
"Elina Born & Stig Rästa - Goodbye To Yesterday "	2015	"TRUE"	4	570	"Elina Born & Stig Rästa"	"Goodbye To Yesterday "	"lyrics-elina_born-goodbye_to_yesterday"	1
"Elina Born ja Jüri Pootsmann - Jagatud saladus "	2018	"TRUE"	7	340	"Elina Born ja Jüri Pootsmann"	"Jagatud saladus "	"lyrics-elina_born-jagatud_saladus"	1
"Elina Born - Miss Calculation "	2013	"TRUE"	7	366	"Elina Born"	"Miss Calculation "	"lyrics-elina_born-miss_calculation"	1
"Elina Born - Miss calculation "	2014	"TRUE"	34	99	"Elina Born"	"Miss calculation "	"lyrics-elina_born-miss_calculation"	1
"Elina Born - Mystery "	2014	"TRUE"	35	96	"Elina Born"	"Mystery "	"lyrics-elina_born-mystery"	1
"Elina Nechayeva - La Forza "	2018	"TRUE"	25	119	"Elina Nechayeva"	"La Forza "	"lyrics-elina_nechayeva-la_forza"	1
"Epoche - Rolling Stone "	2015	"TRUE"	40	36	"Epoche"	"Rolling Stone "	"lyrics-epoche-rolling_stone"	1
"Epordwerk - From Friday To Sunday "	2010	"TRUE"	28	128	"Epordwerk"	"From Friday To Sunday "	"lyrics-epordwerk-from_friday_to_sunday"	1
"Epp Kõiv - Linn on minu(Demie remix) "	2014	"TRUE"	4	448	"Epp Kõiv"	"Linn on minu(Demie remix) "	"lyrics-epp_koiv-linn_on_minu_demie_remix_"	1
"Müürsepp & Krieger - Sõbra Laul"	1998	"TRUE"	7		"Müürsepp & Krieger"	"Sõbra Laul"	"lyrics-erich_krieger-sobra_laul"	1
"Estin - Esimene Lumi "	1996	"TRUE"	28	177	"Estin"	"Esimene Lumi "	"lyrics-estin-esimene_lumi"	1
"Estin - Peegel "	1995	"TRUE"	30	126	"Estin"	"Peegel "	"lyrics-estin-peegel"	1
"Evelin Samuel - Diamond Of Night "	1999	"TRUE"	9	497	"Evelin Samuel"	"Diamond Of Night "	"lyrics-evelin_samuel-diamond_of_night"	1
"Evelin Samuel - Unistus Igavesest Päevast "	1998	"TRUE"	30	99	"Evelin Samuel"	"Unistus Igavesest Päevast "	"lyrics-evelin_samuel-unistus_igavesest_paevast_parandatud_"	1
"Evestus - Welcome To My World "	2018	"TRUE"	26	116	"Evestus"	"Welcome To My World "	"lyrics-evestus-welcome_to_my_world"	1
"Ewert And The Two Dragons - (In The End) There'S Only Love "	2011	"TRUE"	6	716	"Ewert And The Two Dragons"	"(In The End) There'S Only Love "	"lyrics-ewert_and_the_two_dragons-_in_the_end_there_s_only_love"	1
"Ewert And The Two Dragons - Good Man Down "	2011	"TRUE"	1	1166	"Ewert And The Two Dragons"	"Good Man Down "	"lyrics-ewert_and_the_two_dragons-good_man_down"	1
"Ewert And The Two Dragons - Good man down "	2012	"TRUE"	18	122	"Ewert And The Two Dragons"	"Good man down "	"lyrics-ewert_and_the_two_dragons-good_man_down"	1
"Ewert And The Two Dragons - Pictures "	2014	"TRUE"	13	216	"Ewert And The Two Dragons"	"Pictures "	"lyrics-ewert_and_the_two_dragons-pictures"	1
"Ewert And The Two Dragons - Sailor Man "	2011	"TRUE"	18	161	"Ewert And The Two Dragons"	"Sailor Man "	"lyrics-ewert_and_the_two_dragons-sailor_man"	1
"Exit - Loverboy "	2001	"TRUE"	30	70	"Exit"	"Loverboy "	"lyrics-exit-loverboy"	1
